0 テストデータ
10 バランス調整防具：頭
14 調整値⇒
20 関数テスト：頭
30 関数テスト：頭
11001100 1001 【素体】・頭
11001101 1001 【素体】・胸
11001102 1001 【素体】・腕
11001103 1001 【素体】・足
11002100 1002 【ダミー素体】・頭
11002101 1002 【ダミー素体】・胸
11002102 1002 【ダミー素体】・腕
11002103 1002 【ダミー素体】・足
11010100 1010 【軽量戦士】・頭
11010101 1010 【軽量戦士】・胸
11010102 1010 【軽量戦士】・腕
11010103 1010 【軽量戦士】・足
11020100 1020 【盗賊】・頭
11020101 1020 【盗賊】・胸
11020102 1020 【盗賊】・腕
11020103 1020 【盗賊】・足
11030100 1030 【放浪者】・頭
11030101 1030 【放浪者】・胸
11030102 1030 【放浪者】・腕
11030103 1030 【放浪者】・足
11040100 1040 【狩人】・頭
11040101 1040 【狩人】・胸
11040102 1040 【狩人】・腕
11040103 1040 【狩人】・足
11041100 1041 【狩人】・頭
11050100 1050 【兵士】・頭
11050101 1050 【兵士】・胸
11050102 1050 【兵士】・腕
11050103 1050 【兵士】・足
11060100 1060 【魔術兵士】・頭
11060101 1060 【魔術兵士】・胸
11060102 1060 【魔術兵士】・腕
11060103 1060 【魔術兵士】・足
11070100 1070 【呪術師】・頭
11070101 1070 【呪術師】・胸
11070102 1070 【呪術師】・腕
11070103 1070 【呪術師】・足
11080100 1080 【山賊】・頭
11080101 1080 【山賊】・胸
11080102 1080 【山賊】・腕
11080103 1080 【山賊】・足
11100100 1100 【旅人の服】・頭
11100101 1100 【旅人の服】・胸
11100102 1100 【旅人の服】・腕
11100103 1100 【旅人の服】・足
11140100 1140 【アイテム師】・頭
11140101 1140 【アイテム師】・胸
11140102 1140 【アイテム師】・腕
11140103 1140 【アイテム師】・足
11160100 1160 【重戦士】・頭
11160101 1160 【重戦士】・胸
11160102 1160 【重戦士】・腕
11160103 1160 【重戦士】・足
11210100 1210 【道化師】・頭
11210101 1210 【道化師】・胸
11210102 1210 【道化師】・腕
11210103 1210 【道化師】・足
11230100 1230 【占星術師】・頭
11230101 1230 【占星術師】・胸
11230102 1230 【占星術師】・腕
11230103 1230 【占星術師】・足
11320100 1320 【統率者】・頭
11320101 1320 【統率者】・胸
11320102 1320 【統率者】・腕
11320103 1320 【統率者】・足
11330100 1330 【古龍の鎧】・頭
11330101 1330 【古龍の鎧】・胸
11330102 1330 【古龍の鎧】・腕
11330103 1330 【古龍の鎧】・足
11340100 1340 【黄衣】・頭
11340101 1340 【黄衣】・胸
11340102 1340 【黄衣】・腕
11340103 1340 【黄衣】・足
11350100 1350 【免罪の司祭】・頭
11350101 1350 【免罪の司祭】・胸
11350102 1350 【免罪の司祭】・腕
11350103 1350 【免罪の司祭】・足
11360100 1360 【透明鎧】・頭
11360101 1360 【透明鎧】・胸
11360102 1360 【透明鎧】・腕
11360103 1360 【透明鎧】・足
11361100 1361 【透明の鎧：不透明】・頭
11361101 1361 【透明の鎧：不透明】・胸
11361102 1361 【透明の鎧：不透明】・腕
11361103 1361 【透明の鎧：不透明】・足
11370100 1370 【絵画守】・頭
11370101 1370 【絵画守】・胸
11370102 1370 【絵画守】・腕
11370103 1370 【絵画守】・足
11380103 1380 【NPC専用：封印者】・足
11390100 1390 【うす汚れ】・頭
11390101 1390 【うす汚れ】・胸
11390102 1390 【うす汚れ】・腕
11390103 1390 【うす汚れ】・足
11430100 1430 【スナイパーヘッド】・頭
11440102 1440 【ラッキーガントレット】・腕
11450101 1450 【樽】・胸
11460103 1460 【猫の長靴】・足
11470100 1470 【蝶の鎧】・頭
11470101 1470 【蝶の鎧】・胸
11470102 1470 【蝶の鎧】・腕
11470103 1470 【蝶の鎧】・足
11480100 1480 【カタリナ戦士】・頭
11480101 1480 【カタリナ戦士】・胸
11480102 1480 【カタリナ戦士】・腕
11480103 1480 【カタリナ戦士】・足
11490100 1490 【放浪騎士】・頭
11490101 1490 【放浪騎士】・胸
11490102 1490 【放浪騎士】・腕
11490103 1490 【放浪騎士】・足
11500100 1500 【魔女】・頭
11500101 1500 【魔女】・胸
11500102 1500 【魔女】・腕
11500103 1500 【魔女】・足
11501100 1501 【魔女-頭部違い１】・頭
11502100 1502 【魔女-頭部違い２】・頭
12020100 2020 【王国兵士（亡者）】・頭
12020101 2020 【王国兵士（亡者）】・胸
12020102 2020 【王国兵士（亡者）】・腕
12020103 2020 【王国兵士（亡者）】・足
12021100 2021 【王国兵士（生者）】・頭
12021101 2021 【王国兵士（生者）】・胸
12021102 2021 【王国兵士（生者）】・腕
12021103 2021 【王国兵士（生者）】・足
12030100 2030 【下級兵士（亡者）】・頭
12030101 2030 【下級兵士（亡者）】・胸
12030102 2030 【下級兵士（亡者）】・腕
12030103 2030 【下級兵士（亡者）】・足
12031100 2031 【下級兵士（生者）】・頭
12031101 2031 【下級兵士（生者）】・胸
12031102 2031 【下級兵士（生者）】・腕
12031103 2031 【下級兵士（生者）】・足
12060100 2060 【ダークプリースト：色①】・頭
12060101 2060 【ダークプリースト：色①】・胸
12060102 2060 【ダークプリースト：色①】・腕
12060103 2060 【ダークプリースト：色①】・足
12062100 2062 【ダークプリースト：色③】・頭
12062101 2062 【ダークプリースト：色③】・胸
12062102 2062 【ダークプリースト：色③】・腕
12062103 2062 【ダークプリースト：色③】・足
12080100 2080 【ローグ】・頭
12080101 2080 【ローグ】・胸
12080102 2080 【ローグ】・腕
12080103 2080 【ローグ】・足
12110100 2110 【バンディット】・頭
12110101 2110 【バンディット】・胸
12110102 2110 【バンディット】・腕
12110103 2110 【バンディット】・足
12130100 2130 【水兵】・頭
12130101 2130 【水兵】・胸
12130102 2130 【水兵】・腕
12130103 2130 【水兵】・足
12180100 2180 【ダークウィザード（亡者）：色①】・頭
12180101 2180 【ダークウィザード（亡者）：色①】・胸
12182100 2182 【ダークウィザード（亡者）：色③】・頭
12182101 2182 【ダークウィザード（亡者）：色③】・胸
12190101 2190 【獅子黒魔道士】・胸
12190102 2190 【獅子黒魔道士】・腕
12190103 2190 【獅子黒魔道士】・足
12220100 2220 【バーニスの騎士】・頭
12220101 2220 【バーニスの騎士】・胸
12220102 2220 【バーニスの騎士】・腕
12220103 2220 【バーニスの騎士】・足
12230100 2230 【異形の影】・頭
12230101 2230 【異形の影】・胸
12230102 2230 【異形の影】・腕
12230103 2230 【異形の影】・足
12231100 2231 【異形の影】・頭
12240100 2240 【暗殺者】・頭
12240101 2240 【暗殺者】・胸
12240102 2240 【暗殺者】・腕
12240103 2240 【暗殺者】・足
12270100 2270 【不死の労働者】・頭
12270101 2270 【不死の労働者】・胸
12270102 2270 【不死の労働者】・腕
12270103 2270 【不死の労働者】・足
12271100 2271 【不死の労働者②】・頭
12271101 2271 【不死の労働者②】・胸
12310100 2310 【クレリック（亡者）】・頭
12310101 2310 【クレリック（亡者）】・胸
12310102 2310 【クレリック（亡者）】・腕
12310103 2310 【クレリック（亡者）】・足
12340100 2340 【ドワーフ（亡者）】・頭
12340101 2340 【ドワーフ（亡者）】・胸
12340102 2340 【ドワーフ（亡者）】・腕
12340103 2340 【ドワーフ（亡者）】・足
12350100 2350 【重ドワーフ（亡者）】・頭
12350101 2350 【重ドワーフ（亡者）】・胸
